countryn,cow,vdem,year,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
United States,2,20,1789,0,0,1,1,1,1,4,0,4,1,3,0,0,0,0,0,1
United States,2,20,1790,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1791,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1792,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1793,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1794,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1795,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1796,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1797,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1798,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1799,0,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,1
United States,2,20,1800,0,0,1,1,1,1,4,0,4,0,0,0,0,1,1,0,1
United States,2,20,1801,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1802,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1803,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1804,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1805,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1806,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1807,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1808,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1809,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1810,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1811,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1812,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1813,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1814,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1815,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1816,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1817,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1818,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1819,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1820,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1821,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1822,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
United States,2,20,1823,0,0,1,1,1,1,4,0,4,0,0,0,0,1,0,0,1
