,year,y,country,aged_15plus_unemployment_rate_percent,at_least_basic_sanitation_overall_access_percent,arms_imports_us_inflation_adjusted,armed_forces_personnel_percent_of_labor_force,aged_15_64_labour_force_participation_rate_percent,exports_percent_of_gdp,investments_percent_of_gdp,infant_mortality_rate_per_1000_births,hdi_human_development_index,gdppercapita_us_inflation_adjusted,total_gdp_ppp_inflation_adjusted,total_gni_ppp_current_international,military_expenditure_percent_of_gdp,gdp_per_capita_yearly_growth
0,1970-01-01,0.0,0,14.2,27.55752,1000000.0,2.39247,78.51,89.68583,0.0,180.0,0.391,3550.08297,30760000000.0,35457611042.0,2e-05,4.507
1,1971-01-01,0.0,0,14.2,27.55752,1000000.0,2.39247,78.51,89.68583,0.0,175.83,0.391,3550.08297,32610000000.0,35457611042.0,2e-05,3.878
2,1972-01-01,0.0,0,14.2,27.55752,1000000.0,2.39247,78.51,89.68583,0.0,171.66,0.391,3550.08297,32660000000.0,35457611042.0,2e-05,-1.97
3,1973-01-01,0.0,0,14.2,27.55752,1000000.0,2.39247,78.51,89.68583,0.0,167.49,0.391,3550.08297,35310000000.0,35457611042.0,2e-05,5.677
4,1974-01-01,0.0,0,14.2,27.55752,1000000.0,2.39247,78.51,89.68583,0.0,163.32,0.391,3550.08297,36420000000.0,35457611042.0,2e-05,0.7144
5,1975-01-01,0.0,0,14.2,27.55752,241000000.0,2.39247,78.51,89.68583,0.0,159.15,0.391,3550.08297,34590000000.0,35457611042.0,2e-05,-7.369
6,1976-01-01,0.0,0,14.2,27.55752,181000000.0,2.39247,78.51,89.68583,0.0,154.98000000000002,0.391,3550.08297,32770000000.0,35457611042.0,2e-05,-7.632
7,1977-01-01,0.0,0,14.2,27.55752,105000000.0,2.39247,78.51,89.68583,0.0,150.81,0.391,3550.08297,33010000000.0,35457611042.0,2e-05,-1.872
8,1978-01-01,0.0,0,14.2,27.55752,146000000.0,2.39247,78.51,89.68583,0.0,146.64000000000001,0.391,3550.08297,31260000000.0,35457611042.0,2e-05,-7.869
9,1979-01-01,0.0,0,14.2,27.55752,111000000.0,2.39247,78.51,89.68583,0.0,142.47,0.391,3550.08297,31360000000.0,35457611042.0,2e-05,-2.599
10,1980-01-01,0.0,0,14.2,27.55752,153000000.0,2.39247,78.51,89.68583,0.0,138.3,0.391,3550.08297,32220000000.0,35457611042.0,2e-05,-0.4713
11,1981-01-01,0.0,0,14.2,27.55752,241000000.0,2.39247,78.51,89.68583,0.0,137.5,0.391,3276.36171,30800000000.0,35457611042.0,2e-05,-7.605
12,1982-01-01,0.0,0,14.2,27.55752,381000000.0,2.39247,78.51,89.68583,0.0,136.8,0.391,3162.00413,30800000000.0,35457611042.0,2e-05,-3.521
13,1983-01-01,0.0,0,14.2,27.55752,574000000.0,2.39247,78.51,89.68583,0.0,136.0,0.391,3179.34824,32100000000.0,35457611042.0,2e-05,0.5199
14,1984-01-01,0.0,0,14.2,27.55752,479000000.0,2.39247,78.51,89.68583,0.0,135.3,0.391,3252.10787,34020000000.0,35457611042.0,2e-05,2.442
15,1985-01-01,0.0,0,14.9,27.55752,528000000.0,2.39247,78.51,89.68583,0.0,134.9,0.391,3248.60812,35210000000.0,35457611042.0,2e-05,0.3157
16,1986-01-01,0.0,0,18.9,27.55752,703000000.0,2.39247,78.51,89.68583,0.0,134.4,0.391,3226.81718,36330000000.0,35457611042.0,2e-05,0.332
17,1987-01-01,0.0,0,19.16333333333333,27.55752,1187000000.0,2.39247,78.51,89.68583,0.0,134.1,0.391,3242.5791,38870000000.0,35457611042.0,22.25,4.312
18,1988-01-01,0.0,0,19.426666666666666,27.55752,965000000.0,2.39247,78.51,89.68583,0.0,133.8,0.391,3323.53429,41040000000.0,35457611042.0,21.9805,3.021
19,1989-01-01,0.0,0,19.689999999999998,27.55752,152000000.0,2.39247,78.51,89.68583,0.0,133.6,0.391,3212.66272,41200000000.0,35457611042.0,19.43233,-2.138
20,1990-01-01,0.0,0,19.953333333333333,27.55752,141000000.0,2.39247,78.51,89.68583,0.0,133.5,0.391,2998.78075,41020000000.0,35457611042.0,17.46367,-3.166
21,1991-01-01,0.0,0,20.216666666666665,27.55752,134666666.66666666,3.02376,78.5,89.68583,3.049322,133.5,0.391,2929.48289,41420000000.0,40565621896.0,7.1025,-2.028
22,1992-01-01,0.0,0,20.48,27.55752,128333333.33333333,2.49903,78.53,89.68583,6.098644,133.5,0.391,2669.43471,39000000000.0,20600733270.0,5.68283,-8.828
23,1993-01-01,0.0,0,20.743333333333332,27.55752,122000000.0,2.41929,78.66,89.68583,9.147966,133.4,0.391,1964.38972,29650000000.0,19510544414.0,17.52259,-26.45
24,1994-01-01,0.0,0,21.006666666666668,27.55752,111000000.0,2.19449,78.61,89.68583,12.197288,133.2,0.391,1927.50049,30050000000.0,17024126717.0,5.70928,-1.864
25,1995-01-01,0.0,0,21.27,27.55752,1000000.0,2.1572,78.47,89.68583,15.24661,132.8,0.391,2146.45565,34550000000.0,32767244729.0,4.70739,11.56
26,1996-01-01,0.0,0,21.53333333333333,27.55752,44000000.0,1.82236,78.4,89.68583,18.295932,132.3,0.391,2360.0878,41470000000.0,34855143432.0,2.44785,16.65
27,1997-01-01,0.0,0,21.796666666666667,27.55752,7000000.0,2.08006,78.33,89.68583,21.345254,131.5,0.391,2451.60866,43750000000.0,42075079115.0,5.97227,2.7
28,1998-01-01,0.0,0,22.06,27.55752,150000000.0,2.06717,78.26,89.68583,24.394576,130.6,0.391,2485.06684,43750000000.0,43379232966.0,2.64201,-2.634
29,1999-01-01,0.0,0,22.323333333333334,27.55752,358000000.0,1.9738,78.17,89.68583,27.443898,129.5,0.391,2458.09645,45160000000.0,41869017895.0,17.33469,0.3874
30,2000-01-01,0.0,0,22.586666666666666,27.55752,147000000.0,1.75608,78.07,89.68583,30.49322,128.3,0.4,2451.50983,46520000000.0,45824413133.0,6.3926,-0.05615
31,2001-01-01,0.0,0,22.85,28.98922,156000000.0,2.10338,78.04,75.38894,30.49322,126.9,0.41,2471.66463,47980000000.0,49241242737.0,4.52435,-0.1709
32,2002-01-01,0.0,0,23.113333333333333,30.42247,148000000.0,1.5367,77.92,57.085,30.49317,125.5,0.426,2717.44097,54960000000.0,59221986497.0,2.86993,10.67
33,2003-01-01,0.0,0,23.376666666666665,31.85606,48000000.0,1.75341,77.86,54.32134,30.45111,124.1,0.435,2705.70614,56770000000.0,62822142473.0,3.76148,-0.247
34,2004-01-01,0.0,0,23.64,33.29039,8000000.0,1.5354,77.76,58.38035,30.89367,122.8,0.446,2900.16696,63130000000.0,70886902139.0,3.47118,7.454
35,2005-01-01,0.0,0,19.668,34.72264,39000000.0,1.48023,77.66,65.52627,27.55658,121.2,0.46,3220.07809,76070000000.0,83763899423.0,3.69224,16.62
36,2006-01-01,0.0,0,15.696000000000002,35.99128,7000000.0,1.33217,77.68,63.46786,23.30077,119.4,0.473,3464.23467,90220000000.0,95301356718.0,3.7615,14.97
37,2007-01-01,0.0,0,11.724,37.25931,31000000.0,1.36671,77.68,67.90578,25.73058,117.1,0.489,3806.84918,111000000000.0,112000000000.0,3.11405,19.57
38,2008-01-01,0.0,0,7.752000000000001,38.52751,29000000.0,1.31761,77.7,72.47503,30.80405,114.7,0.501,4077.77684,127000000000.0,121000000000.0,3.57312,10.58
39,2009-01-01,0.0,0,3.78,39.79427,20000000.0,1.27009,77.79,58.7573,42.82086,112.2,0.515,3963.24842,130000000000.0,132000000000.0,4.70961,-0.4637
40,2010-01-01,0.0,0,9.43,41.06079,22500000.0,1.22432,77.84,61.54311,28.19731,109.6,0.517,3988.62365,134000000000.0,139000000000.0,4.17758,0.594
41,2011-01-01,0.0,0,7.36,42.32666,25000000.0,1.182,77.96,60.66995,26.42435,106.8,0.533,3979.81505,139000000000.0,148000000000.0,3.25566,1.033
42,2012-01-01,0.0,0,8.1,43.59147,27500000.0,1.14118,78.02,55.94013,26.66758,104.1,0.544,4167.1258,146000000000.0,171000000000.0,3.23666,2.125
43,2013-01-01,0.0,0,8.84,44.85479,30000000.0,1.10154,78.07,50.74708,26.14297,101.4,0.555,4220.96481,152000000000.0,185000000000.0,4.45524,1.029
44,2014-01-01,0.0,0,9.58,46.11703,2000000.0,1.06318,78.09,44.69503,27.50046,98.8,0.565,4272.45554,152000000000.0,207000000000.0,4.69845,2.239
45,2015-01-01,0.0,0,9.58,47.37448,47000000.0,1.0261,78.09,29.7546,34.20249,96.0,0.572,4166.97983,152000000000.0,194000000000.0,3.10543,2.461
46,2016-01-01,0.0,0,9.58,48.62794,152000000.0,0.99113,78.12,28.12448,27.21471,96.0,0.578,3924.62047,152000000000.0,194000000000.0,2.73334,2.769
47,2017-01-01,0.0,0,9.58,49.87698,110000000.0,0.95718,78.09,29.0041,24.1303,96.0,0.582,3790.79157,152000000000.0,205000000000.0,2.50799,0.2621
48,2018-01-01,0.0,0,9.58,51.12074,272000000.0,0.92418,78.03,40.83629,21.38591,96.0,0.582,3595.10667,152000000000.0,202000000000.0,1.87178,3.461
