country,region,protesterviolence,startdate,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,year_scode,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target,reg_type,armed_forces_personnel_percent_of_labor_force,aged_15_64_labour_force_participation_rate_percent,exports_percent_of_gdp,investments_percent_of_gdp,hdi_human_development_index,gdppercapita_us_inflation_adjusted,total_gni_ppp_current_international,military_expenditure_percent_of_gdp,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
Afghanistan,Asia,0,1991.493379,0,0,1,0,0,0,0,1991_AFG,7.60090246,0,0,Presidential,4,1,3,3,1,1,0,1,0,184,0,0,0,1,1,0,0,0,0,0,1,0.10137926,0.903531253,0.903531253,4,1,0,4,4,2,1,0,1.39455,49.19,0,0,0.307,0,0,0,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
Albania,Europe,0,1993.665525,0,0,0,1,0,1,0,1993_ALB,9.903487553,0,0,Parliamentary,1,1,4,1,1,1,0,0,0,140,0,0,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,2,2,0.666666687,2,1,5,0,0,4.6358,73.63,15.97883,13.67614,0.618,1197.58059,6793742414,3.19945,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
Albania,Europe,0,1993.910046,0,0,0,1,0,0,0,1993_ALB,3.912023005,0,0.693147181,Parliamentary,1,1,4,1,1,1,0,0,0,140,0,0,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,2,2,0.666666687,2,1,5,0,0,4.6358,73.63,15.97883,13.67614,0.618,1197.58059,6793742414,3.19945,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
Albania,Europe,0,1994.680365,0,0,0,1,0,0,0,1994_ALB,7.824046011,2.079441542,0,Parliamentary,2,1,3,1,1,1,0,0,0,140,0,0,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,3,2,0,3,2,5,0,0,4.71727,72.44,11.98369,18.89658,0.624,1305.00072,7385627999,2.54782,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
Albania,Europe,0,1996.493379,0,0,0,1,0,0,0,1996_ALB,8.9226583,0,0,Parliamentary,4,1,0,1,1,1,0,0,0,140,0,1,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,5,2,0,5,4,5,0,0,5.07054,69.81,11.62033,18.06379,0.646,1633.55157,9647410189,1.37903,1,1,1,1,1,0,3,0,3,0,0,1,1,1,0,0,1
Albania,Europe,0,1997.127169,0,0,0,1,0,0,0,1997_ALB,8.006367568,0,0,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,0,1997.135388,0,0,1,1,0,0,0,1997_ALB,7.824046011,0,0.693147181,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,1,1997.151826,0,0,0,1,0,1,0,1997_ALB,7.60090246,0,1.098612289,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,1,1997.157306,0,0,0,1,0,0,0,1997_ALB,9.210340372,0,1.386294361,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,0,1997.180365,0,0,0,1,0,0,0,1997_ALB,8.853665428,0,1.609437912,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
