,country,region,protesterviolence,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,execrel,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target
2446,Argentina,South America,1,0,0,1,0,0,0,0,6.907755278982137,0.0,0.0,Presidential,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,Argentina,252.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.44599998474121094,0.3840000152587891,0.5079365372657776,0.3468017578125,0.7142224907875061,0.6564960479736328,7.0,5.0,0.25,1.0,1.0,7,0
373,Mexico,North America,0,0,0,0,1,0,0,0,3.912023005428146,0.6931471805599453,0.0,Presidential,2.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,Mexico,500.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.5031000137329101,0.17959999084472655,0.5199999809265137,1.0,0.6127374768257141,0.0,51.0,2.0,0.0,13.0,2.0,3,0
12279,China,Asia,0,1,0,0,0,0,0,0,5.0106352940962555,0.0,0.0,Assembly-Elected President,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,China,2978.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0
374,Mexico,North America,1,0,0,0,1,0,0,0,5.857933154483459,4.0943445622221,0.6931471805599453,Presidential,2.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,Mexico,500.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.5031000137329101,0.17959999084472655,0.5199999809265137,1.0,0.6127374768257141,0.0,51.0,2.0,0.0,13.0,2.0,3,0
4815,Germany East,Europe,0,0,0,0,1,0,0,0,11.512925464970229,0.0,0.0,Presidential,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,Germany East,500.0,0.0,0.0,0.0,3.5,3.0,0.0,0.0,0.0,0.9993000030517578,0.0,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0,1.0,0,1
13205,India,Asia,1,0,0,0,1,0,0,0,3.912023005428146,0.0,0.0,Parliamentary,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,India,525.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.3036999893188477,0.6057999801635742,0.5390475988388062,0.3706439137458801,0.7529135346412659,0.6315878629684448,41.0,6.0,0.6666666865348816,1.0,1.0,5,0
9758,Zimbabwe,Africa,0,0,0,0,1,0,0,0,4.605170185988092,0.6931471805599453,0.0,Presidential,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,Zimbabwe,100.0,0.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,0.7593000030517578,0.178700008392334,0.6399999856948853,1.0,0.5490909218788147,0.0,10.0,4.0,0.0,10.0,3.0,3,0
12802,Korea,Asia,0,0,0,0,0,0,1,0,6.214608098422191,0.0,0.0,Presidential,3.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,Korea,299.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.3395999908447266,0.6604000091552734,0.41806021332740784,1.0,0.7200735807418823,0.0,9.0,4.0,0.0,9.0,3.0,6,0
5033,Czech Republic,Europe,0,0,0,0,1,0,0,0,9.210340371976184,0.0,0.0,Assembly-Elected President,21.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Czech Republic,201.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,1.0,0.0,21.0,21.0,3,1
2629,United Kingdom,Europe,0,1,0,0,0,0,0,0,4.605170185988092,0.0,0.0,Parliamentary,11.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,United Kingdom,645.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.42200000762939455,0.5770000076293945,0.5813953280448914,1.0,0.5351653695106506,1.1102230246251565e-16,60.0,4.0,0.0,11.0,11.0,7,0
